﻿#,"REDCap MLM"
#,"v16.1.6"
#,"2026-04-14 09:42:24"
#,"How to use this file: Any information above the column title row is purely informational and will be ignored during import. The column title row must remain intact, i.e. the row 'section,type,name,index,kind,text' (the delimiter can be either comma, as shown, or semicolon or tab) and be the first non-empty line that is not staring with # (denoting comments). The essential lines are those with 'translation' or 'value' in the 'kind' column. In these lines, the translation (or value) in the 'text' column can be edited. All other lines (except the 'hash' kind. see below) are ignored when the file is imported. Do not change the contents of the 'section', 'type', 'name', 'index', and 'kind' columns at all. Furthermore, subsets of this file can be created and used at will, as long as the rules layed out above are observed. The 'hash'-kind rows are not essential, but assist in tracking if a default value has changed since the file was created, and thus a translation may be out of date. During an import operation, a best-effort approach is taken. Any items that cannot be matched during import will be silently ignored. Thus, a cross-project import of field translations would only work for fields of the same name."
#,
section,type,name,index,kind,text
fieldTranslations,label,radio_ongoing,,default,"Radiotherapy ongoing?"
fieldTranslations,label,radio_ongoing,,hash,"edcdd5e833"
fieldTranslations,label,radio_ongoing,,translation,"Est ce que la radiothérapie en cours ?"
fieldTranslations,label,cancer_radio_complete,,default,"Specify date radiotherapy completed:
"
fieldTranslations,label,cancer_radio_complete,,hash,"6db3901e91"
fieldTranslations,label,cancer_radio_complete,,translation,"Précisez la date en cas de fin de la radiothérapie :"
fieldTranslations,note,cancer_radio_complete,,default,"DD-MM-YYYY"
fieldTranslations,note,cancer_radio_complete,,hash,"d7e5fe50fe"
fieldTranslations,note,cancer_radio_complete,,translation,"JJ-MM-AAAA"
fieldTranslations,label,cancer_hormonal_tx,,default,"Did the participant receive hormonal therapy for this cancer?
"
fieldTranslations,label,cancer_hormonal_tx,,hash,"8b57227f70"
fieldTranslations,label,cancer_hormonal_tx,,translation,"Le participant, a-t-il reçu une thérapie hormonale pour ce cancer ?"
fieldTranslations,enum,cancer_hormonal_tx,1,default,"Yes"
fieldTranslations,enum,cancer_hormonal_tx,1,hash,"5397e0583f"
fieldTranslations,enum,cancer_hormonal_tx,1,translation,"Oui"
fieldTranslations,enum,cancer_hormonal_tx,0,default,"No"
fieldTranslations,enum,cancer_hormonal_tx,0,hash,"816c52fd2b"
fieldTranslations,enum,cancer_hormonal_tx,0,translation,"Non"
fieldTranslations,enum,cancer_hormonal_tx,-992,default,"Don't know"
fieldTranslations,enum,cancer_hormonal_tx,-992,hash,"3bb9b8e85c"
fieldTranslations,enum,cancer_hormonal_tx,-992,translation,"Je ne sais pas"
fieldTranslations,label,cancer_hormonal_complete,,default,"Specify date hormonal therapy completed:
"
fieldTranslations,label,cancer_hormonal_complete,,hash,"62ba4b9526"
fieldTranslations,label,cancer_hormonal_complete,,translation,"Précisez la date, si le traitement hormonal est terminé :"
fieldTranslations,note,cancer_hormonal_complete,,default,"DD-MM-YYYY"
fieldTranslations,note,cancer_hormonal_complete,,hash,"d7e5fe50fe"
fieldTranslations,note,cancer_hormonal_complete,,translation,"JJ-MM-AAAA"
fieldTranslations,label,cancer_other_tx,,default,"Did the participant receive any other type/s of therapy for this cancer?
"
fieldTranslations,label,cancer_other_tx,,hash,"4d5b2a5cf3"
fieldTranslations,label,cancer_other_tx,,translation,"Le participant, a-t-il reçu d'autres types de thérapie pour ce cancer ?"
fieldTranslations,enum,cancer_other_tx,1,default,"Yes"
fieldTranslations,enum,cancer_other_tx,1,hash,"5397e0583f"
fieldTranslations,enum,cancer_other_tx,1,translation,"Oui"
fieldTranslations,enum,cancer_other_tx,0,default,"No"
fieldTranslations,enum,cancer_other_tx,0,hash,"816c52fd2b"
fieldTranslations,enum,cancer_other_tx,0,translation,"Non"
fieldTranslations,enum,cancer_other_tx,-992,default,"Don't know"
fieldTranslations,enum,cancer_other_tx,-992,hash,"3bb9b8e85c"
fieldTranslations,enum,cancer_other_tx,-992,translation,"Je ne sais pas"
fieldTranslations,label,cancer_other_tx_spec,,default,"(If Yes) Specify type/s of therapy received for this cancer:"
fieldTranslations,label,cancer_other_tx_spec,,hash,"b16b07a428"
fieldTranslations,label,cancer_other_tx_spec,,translation,"(Si oui) Précisez le(s) type(s) de traitement reçu pour ce cancer :"
fieldTranslations,label,cancer_progtx_version,,default,"Cancer Prognosis & Treatment History - Instrument Version 3.0 Released January 2026
H3ABioNet & H3Africa Phenotype Standards"
fieldTranslations,label,cancer_progtx_version,,hash,"0b834ba649"
fieldTranslations,label,cancer_progtx_version,,translation,"Pronostic du cancer et historique des traitements - Version 3.0 de l'instrument, sortie en jan 2022
Standards Phénotypiques H3ABioNet et H3Africa"
fieldTranslations,header,cancer_prognosis_treatment_complete,,default,"Form Status"
fieldTranslations,header,cancer_prognosis_treatment_complete,,hash,"c91e0b9151"
fieldTranslations,header,cancer_prognosis_treatment_complete,,translation,"Statut du formulaire"
fieldTranslations,label,cancer_prognosis_treatment_complete,,default,"Complete?"
fieldTranslations,label,cancer_prognosis_treatment_complete,,hash,"fc84b4a6d8"
fieldTranslations,label,cancer_prognosis_treatment_complete,,translation,"Complet?"
fieldTranslations,enum,cancer_prognosis_treatment_complete,0,default,"Incomplete"
fieldTranslations,enum,cancer_prognosis_treatment_complete,0,hash,"387fd1bbc1"
